PROJECT NAME (ANONYMISED),SPRINT NAME,TICKET TITLE,DEADLINE (MINUTES),DURATION (MINUTES),STORY POINT,PRIORITY,DEPENDENCY
ACME,Sprint 3,Backend - Add new field in the database for storing meeting type,120,100,2,Medium,-
ACME,Sprint 3,Web Frontend - Approved & reject button in Appointment is missing for Admin,60,153,1,High,-
ACME,Sprint 3,Backend - Change Appointment accept logic,120,424,2,Medium,-
ACME,Sprint 3,Backend API - Delete Meeting,120,55,2,Medium,-
ACME,Sprint 3,"Backend API - Add ManagedBy field in Auth0, Employee Cache and Frontend/Backend",120,30,2,Medium,-
ACME,Sprint 3,Backend API - Integrate S3 bucket for Hosting Static Assets,120,501,2,High,-
ACME,Sprint 3,Web frontend - Make reload/buffering icon in middle of the web,60,22,1,Medium,-
ACME,Sprint 3,Mobile App - Integrate Auth0 Based Authenticaton,,986,5,Medium,-
ACME,Sprint 3,Web Frontend - Change Edit button color inside the employee information extend(POP-UP) section,60,27,1,High,-
ACME,Sprint 3,Web Frontend - Admin - Update frontend design of email verification tabs/page Jasper new design,120,161,2,Medium,-
ACME,Sprint 3,Web Frontend - Integrate Organization Update API,120,29,2,Medium,-
ACME,Sprint 3,Web Frontend - Integrate Profile Fetch API on Profile Page,60,60,1,Medium,-
ACME,Sprint 3,Web Frontend - Integrate Employee List Fetch API on Employee List Page,60,23,1,Medium,-
ACME,Sprint 3,Web Frontend - Change New Employee Invitation Popup Message,60,31,1,Medium,-
ACME,Sprint 3,Web Frontend - Link Profile Option with Setting Personal Section,60,55,1,Highest,-
ACME,Sprint 3,Web Frontend - Handle Employee Email Invitation Query Parameters to Add New Employee into Existing Organization,120,28,2,High,-
ACME,Sprint 3,"Web Frontend - ""Remove form validation for disabled input fields"" in personal information edit page",60,30,1,Medium,-
ACME,Sprint 3,Backend API - Contacts - Create Contact API,120,136,2,Medium,-
ACME,Sprint 3,Web Frontend - Contacts - Create Contact API Integration in the frontend,60,109,1,Medium,-
ACME,Sprint 3,Backend API - Contacts - Create Fetch Contacts API and Fetch Single Contact API,60,95,1,Medium,-
ACME,Sprint 3,Web Frontend - Contacts - Get all the contact in the frontend using Fetch Contacts API,60,32,1,Medium,-
ACME,Sprint 3,Backend API - Contacts - Edit Contact API,120,60,2,Medium,-
ACME,Sprint 3,Web Frontend - Contacts - Implement Edit Contact API in the frontend,60,26,1,Medium,-
ACME,Sprint 3,Backend API - Settings - Create Edit Employee API,60,83,1,Medium,-
ACME,Sprint 3,Web Frontend - Settings - Implement Edit Employee API,60,78,1,Medium,-
ACME,Sprint 3,Web Frontend - Settings - Cursor Pointer white hovering over the edit icon,60,57,1,Medium,-
ACME,Sprint 3,Web Frontend - Settings - Show loader while tabs are loading,60,23,1,Medium,-
ACME,Sprint 3,Web Frontend - Settings - Show Active Tab,60,16,1,Medium,-
ACME,Sprint 3,Web Frontend - Application is not going past Organization Create screen,60,19,1,Highest,-
ACME,Sprint 3,Web Frontend - Fix the issue of Employee table Data fetching,60,66,1,High,-
ACME,Sprint 3,Backend API - Changes in Tour Plan Create and Update API to integrate with Auth0,120,31,2,Medium,-
ACME,Sprint 3,Backend API - Changes in Expense Create and Update API to integrate with Auth0,60,101,1,Medium,-
ACME,Sprint 3,Web Frontend - Change text input into dropdown menu of state in organization edit page & profile edit page & employee edit page ,120,33,2,Medium,-
ACME,Sprint 3,Backend API - Fix Gender in Personal information edit page & employee edit page,60,88,1,High,-
ACME,Sprint 3,Web Frontend - Terms and Conditions & Privacy Policy not Working in Footer,60,65,1,Medium,-
ACME,Sprint 4,DevOps - Automate infrastructure scaling during peak hours,168,160,5,Highest,-
ACME,Sprint 6,Backend - Improve caching mechanism for frequently accessed data,87,39,1,Low,-
ACME,Sprint 5,DevOps - Optimize logging system for better error tracking,417,425,5,High,-
GammaTech,Sprint 6,Backend - Implement JWT-based authentication in user login API,412,375,5,High,-
BetaCorp,Sprint 5,Frontend - Enhance accessibility features in the dashboard,241,213,3,Low,-
GammaTech,Sprint 3,DevOps - Set up CI/CD pipeline for automated deployments,121,112,2,Low,-
GammaTech,Sprint 4,Frontend - Improve form validation in the signup workflow,122,87,1,High,-
ACME,Sprint 5,Bug Fix - Resolve intermittent 500 errors in the checkout flow,47,53,1,High,-
ACME,Sprint 6,Mobile - Refactor mobile app login flow to support OAuth,327,325,5,High,-
BetaCorp,Sprint 4,Frontend - Redesign the navigation bar with improved dropdowns,166,120,2,Medium,-
BetaCorp,Sprint 6,Backend - Refactor legacy code in the payment processing module,244,210,5,Medium,-
GammaTech,Sprint 6,Mobile - Implement push notifications for new user messages,126,106,2,High,-
GammaTech,Sprint 4,Bug Fix - Resolve issue with incorrect password reset emails,432,390,5,Highest,-
BetaCorp,Sprint 5,Frontend - Implement dark mode toggle in user settings,116,108,2,Highest,-
BetaCorp,Sprint 3,API - Develop endpoint for exporting user reports as CSV,42,33,1,Medium,-
BetaCorp,Sprint 3,DevOps - Automate infrastructure scaling during peak hours,140,129,3,High,-
ACME,Sprint 3,DevOps - Migrate server infrastructure to Kubernetes,251,255,5,Medium,-
BetaCorp,Sprint 6,Frontend - Enhance accessibility features in the dashboard,325,325,5,Highest,-
ACME,Sprint 5,Frontend - Improve form validation in the signup workflow,244,231,3,High,-
BetaCorp,Sprint 5,API - Optimize response time for user profile fetch API,197,150,5,Highest,-
ACME,Sprint 6,DevOps - Optimize logging system for better error tracking,198,156,3,Medium,-
BetaCorp,Sprint 4,Frontend - Fix alignment issues in the profile edit form,54,38,1,Low,-
